"id","user_id","course_id","access_start","access_end"
"UCR000003","STU000007","CRS000002","2025-11-25 07:54:30.420289","2026-11-25 07:54:30.420289"
"UCR000004","STU000002","CRS000003","2025-11-25 09:20:34.677462","2026-11-25 09:20:34.677462"
"UCR000005","STU000003","CRS000003","2025-11-25 09:32:59.288434","2026-11-25 09:32:59.288434"
"UCR000006","STU000013","CRS000003","2025-11-25 09:58:41.486912","2026-11-25 09:58:41.486912"
"UCR000007","STU000009","CRS000003","2025-11-29 10:06:34.008715","2026-11-29 10:06:34.008715"
"UCR000008","STU000003","CRS000001","2025-11-29 10:56:35.042817","2026-11-29 10:56:35.042817"
"UCR000009","STU000007","CRS000007","2025-11-29 10:58:32.631695","2125-11-29 10:58:32.631695"
"UCR000010","STU000008","CRS000001","2025-12-03 05:30:47.987205","2026-12-03 05:30:47.987205"
"UCR000011","STU000002","CRS000001","2025-12-03 12:46:23.892742","2026-12-03 12:46:23.892742"
"UCR000012","STU000002","CRS000004","2025-12-04 12:55:00.21815","2026-12-04 12:55:00.21815"
